Year,Annual Average Price For Cheese,Annual Average Price For Milk,Annual Average Price For Chedar Cheese,Annual Average Price For Beef Chunks,Annual Average Price For Beef Steaks,Annual Average Price For Chicken,Annual Average Price For Pork,Annual Average Price For Eggs,Annual Average Price For Bread,Annual Average Price For Flour,Annual Average Price For Rice,Annual Average Price For Banana,Annual Average Price For Oranges,Annual Average Price For Strawberries,Annual Average Price For Tomatoes,Inlflation %,% CPI for Grains,% CPI for Fruits,%CPI for Animal Products,% CPI for Dairy Prodcuts,AnnualCPI,% PPI for Fruits,% PPI for Vegeatables,%PPI for Beef,%PPI for Pork,%PPI for Poultry,% PPI for Eggs,% PPI for Milk,% PPI for Dairy ,% PPI for Wheat
2011,4.066,3.571583333,5.41875,3.1855,4.607583333,1.4895,3.433531311,1.7695,1.444666667,0.518083333,0.740666667,0.610166667,1.09575,2.075333333,1.667333333,4.10%,3.9,4.1,7.4,6.8,224.9,-4.9,9.3,15,12.5,-1.5,16.5,23.5,12.6,37.5
2012,4.188,3.4925,5.625416667,3.410166667,4.793833333,1.578166667,3.466764501,1.837666667,1.417666667,0.516916667,0.696833333,0.602083333,1.053166667,1.9925,1.456583333,-0.64%,2.8,-0.6,3.6,2.1,229.6,1.1,-19.8,10,-4.1,11.2,1.4,-8.1,-1.6,-2.6
2013,4.175,3.461916667,5.5575,3.47,4.878333333,1.611583333,3.643909536,1.9095,1.406666667,0.521583333,0.723583333,0.599583333,1.15075,2.023636364,1.531909091,2.55%,1,2.5,2.1,0.1,233.0,1.8,26.4,0,3.6,3.8,9.4,8.1,3.6,-3
2014,4.494,3.693666667,5.542666667,3.96825,5.681083333,1.572,4.018761474,2.0185,1.40125,0.529833333,0.734,0.598083333,1.318916667,2.28875,1.70725,1.51%,0.2,1.5,7.2,3.6,236.7,2.7,-1.9,19.1,19.6,4.3,17.8,19.8,11,-6.7
2015,4.456,3.41875,5.379166667,4.2505,6.146833333,1.5935,3.852639656,2.469416667,1.441,0.516666667,0.685416667,0.58275,1.304416667,2.215727273,1.841166667,-0.19%,1.1,-0.2,1.9,-1.3,237.0,-0.2,3.2,2.9,-23.6,-1.6,31.9,-28.7,-12.7,-19.6
2016,4.367,3.20425,5.23475,3.845166667,5.896833333,1.528666667,3.746743129,1.684166667,1.37125,0.525,0.716166667,0.573,1.245916667,2.43525,1.925583333,0.83%,-0.3,0.8,-3.5,-2.3,240.0,11.7,1,-16.7,-2.1,-3.6,-59.1,-3,-1.7,-20.4
2017,4.248,3.2255,4.895416667,3.708916667,5.787916667,1.454333333,3.784205803,1.467083333,1.332583333,0.50725,0.72125,0.562583333,1.34075,2.33925,1.931,-0.20%,-0.5,-0.2,-0.1,0.1,245.1,6.6,6.4,-0.7,3.2,0.7,23.6,8.6,3.4,7.8
2018,4.007,2.895833333,5.135,3.726083333,5.706,1.416,3.744281049,1.741666667,1.286,0.46175,0.693583333,0.573833333,1.412833333,2.34375,1.916333333,0.71%,0.4,0.7,0.7,-0.5,251.1,-1.9,-1.7,1.7,-6.3,-6.8,33.2,-8.3,-2.3,14.2
2019,3.876,3.035666667,5.30775,3.93975,5.83375,1.429583333,3.843299968,1.395833333,1.297666667,0.441166667,0.7645,0.573583333,1.366666667,2.462,1.9305,1.03%,1.4,1,1,1,255.7,-6.1,13,2,4.6,1.5,-34,15,4.7,-8
2020,4.104,3.318416667,5.496333333,4.387583333,6.533083333,1.54975,4.029325607,1.50575,1.451666667,0.451363636,0.758545455,0.577916667,1.245,2.494545455,1.9628,1.35%,2.2,1.4,6.3,4.4,258.8,2,3.5,2.4,2.6,-0.5,11,-4.4,0.3,7.5
2021,4.036,3.5445,5.44,4.558583333,6.973166667,1.643333333,4.503149954,1.674,1.523583333,0.40375,0.79375,0.600083333,1.362111111,2.665090909,1.849083333,3.24%,2.3,3.3,6.8,1.4,271.0,5.3,-6.6,25.5,16.7,20.4,17.1,0.9,1.8,44.5
2022,4.401,4.091,5.762333333,4.8715,7.260166667,1.898,,2.856833333,1.70025,0.493916667,0.913,0.6365,1.572,2.878083333,1.911833333,8.53%,#N/A,#N/A,#N/A,#N/A,292.7,,,,,,,,,
